station,date,datatype,value
"GHCND:USC00360530","1970-01-01","PRCP",0
"GHCND:USC00361480","1970-01-01","PRCP",.8
"GHCND:USC00364450","1970-01-01","PRCP",15.2
"GHCND:USC00364450","1970-01-01","TMAX",1.7
"GHCND:USC00364450","1970-01-01","TMIN",-12.2
"GHCND:USC00365790","1970-01-01","PRCP",1.3
"GHCND:USC00368449","1970-01-01","PRCP",0
"GHCND:USC00368449","1970-01-01","TMAX",1.1
"GHCND:USC00368449","1970-01-01","TMIN",-9.4
"GHCND:USW00014761","1970-01-01","PRCP",0
"GHCND:USW00014761","1970-01-01","TMAX",-5
"GHCND:USW00014761","1970-01-01","TMIN",-15
"GHCND:USC00360530","1970-01-02","PRCP",0
"GHCND:USC00360530","1970-01-02","TMAX",1.7
"GHCND:USC00360530","1970-01-02","TMIN",-12.2
"GHCND:USC00361480","1970-01-02","PRCP",.5
"GHCND:USC00364450","1970-01-02","PRCP",.8
"GHCND:USC00364450","1970-01-02","TMAX",-3.3
"GHCND:USC00364450","1970-01-02","TMIN",-14.4
"GHCND:USC00365790","1970-01-02","PRCP",.3
"GHCND:USC00368449","1970-01-02","PRCP",0
"GHCND:USC00368449","1970-01-02","TMAX",-3.3
"GHCND:USC00368449","1970-01-02","TMIN",-10.6
"GHCND:USW00014761","1970-01-02","PRCP",.5
"GHCND:USW00014761","1970-01-02","TMAX",-3.3
"GHCND:USW00014761","1970-01-02","TMIN",-8.3
"GHCND:USC00360530","1970-01-03","PRCP",2.8
"GHCND:USC00360530","1970-01-03","TMAX",-1.1
"GHCND:USC00360530","1970-01-03","TMIN",-11.7
"GHCND:USC00361480","1970-01-03","PRCP",1.5
"GHCND:USC00364450","1970-01-03","PRCP",0
"GHCND:USC00364450","1970-01-03","TMIN",-9.4
"GHCND:USC00365790","1970-01-03","PRCP",1.5
"GHCND:USC00368449","1970-01-03","PRCP",1.8
"GHCND:USC00368449","1970-01-03","TMAX",.6
"GHCND:USC00368449","1970-01-03","TMIN",-5.6
"GHCND:USW00014761","1970-01-03","PRCP",1.5
"GHCND:USW00014761","1970-01-03","TMAX",-3.9
"GHCND:USW00014761","1970-01-03","TMIN",-10.6
"GHCND:USC00360530","1970-01-04","PRCP",.3
"GHCND:USC00360530","1970-01-04","TMAX",-1.7
"GHCND:USC00360530","1970-01-04","TMIN",-12.2
"GHCND:USC00361480","1970-01-04","PRCP",1
"GHCND:USC00364450","1970-01-04","PRCP",2.5
"GHCND:USC00364450","1970-01-04","TMIN",-15
"GHCND:USC00365790","1970-01-04","PRCP",0
"GHCND:USC00368449","1970-01-04","PRCP",.3
"GHCND:USC00368449","1970-01-04","TMAX",-1.7
"GHCND:USC00368449","1970-01-04","TMIN",-12.2
"GHCND:USW00014761","1970-01-04","PRCP",0
"GHCND:USW00014761","1970-01-04","TMAX",-9.4
"GHCND:USW00014761","1970-01-04","TMIN",-16.1
"GHCND:USC00360530","1970-01-05","PRCP",0
"GHCND:USC00360530","1970-01-05","TMAX",-3.9
"GHCND:USC00360530","1970-01-05","TMIN",-13.3
"GHCND:USC00361480","1970-01-05","PRCP",0
"GHCND:USC00364450","1970-01-05","PRCP",0
"GHCND:USC00364450","1970-01-05","TMIN",-15.6
